True Category,Predicted As,Count
cs,math,604
cs,physics,75
cs,q-bio,19
econ,cs,149
econ,math,177
econ,physics,5
econ,q-bio,1
eess,cs,222
eess,math,171
eess,physics,11
eess,q-bio,1
math,cs,114
math,physics,79
math,q-bio,1
physics,cs,108
physics,math,499
physics,q-bio,66
q-bio,cs,18
q-bio,math,223
q-bio,physics,34
q-fin,cs,574
q-fin,math,247
q-fin,physics,7
stat,cs,227
stat,math,296
stat,physics,10
stat,q-bio,10
